Date,Open,High,Low,Close,Volume
11/8/2019,218.210007,221.25,217.460007,221.110001,2069900
11/7/2019,216.910004,218.509995,215.460007,217.990005,2498300
11/6/2019,215.449997,218.580002,215.449997,216.399994,2540200
11/5/2019,215.919998,219.490005,213.190002,215.080002,3011600
11/4/2019,218.729996,219.839996,214.350006,214.410004,2646600
11/1/2019,214.259995,219.380005,214,217.949997,3685300
10/31/2019,210.100006,213.669998,209.600006,213.25,3255600
10/30/2019,206.350006,211,204.160004,210.880005,3793500
10/29/2019,205.259995,211.25,204.910004,208.990005,4460000
10/28/2019,203.169998,205.979996,202.679993,205.009995,1652600
10/25/2019,202.589996,203.710007,201.509995,203.050003,1321500
10/24/2019,203.949997,204.300003,201.660004,203.059998,1220800
10/23/2019,204.229996,205.889999,203.039993,203.320007,1805800
10/22/2019,204.630005,206.059998,203.220001,204.830002,2136700
10/21/2019,203.570007,203.610001,200.779999,202.929993,1564000
10/18/2019,204.110001,204.119995,200.809998,202.720001,2043400
10/17/2019,201.589996,204.75,201.520004,203.559998,1380800
10/16/2019,204.149994,204.979996,202.179993,203.210007,1758500
10/15/2019,203.460007,204.800003,202.600006,204.660004,1492800
10/14/2019,201.25,204.899994,201.229996,202.889999,1638200
10/11/2019,200.229996,203.889999,199.979996,200.800003,2472200
10/10/2019,198,199.360001,197.020004,198.679993,1297500
10/9/2019,198.679993,198.679993,195.960007,196.690002,1292900
10/8/2019,196.550003,198,195,196.080002,2032600
10/7/2019,194.539993,198.820007,194.449997,197.169998,2199300
10/4/2019,193.139999,196.009995,193.139999,195.589996,2158200
10/3/2019,189.600006,192.669998,189,192.619995,1888500
10/2/2019,193.580002,193.580002,188.779999,189.210007,2250800
10/1/2019,192.580002,195.880005,192.100006,193.190002,2331000
9/30/2019,192.800003,196.679993,191.690002,193.509995,2492300
9/27/2019,195.559998,196.850006,193.839996,194.940002,1770300
9/26/2019,195.910004,196.309998,193.080002,195.380005,1877800
9/25/2019,197.580002,198.330002,195.919998,196.059998,1779900
9/24/2019,198.979996,199.800003,195.610001,196.550003,2322500
9/23/2019,197.75,198.809998,197.309998,197.759995,1683900
9/20/2019,196,199.320007,195.75,196.940002,6680400
9/19/2019,195.720001,196.369995,194.520004,195.649994,1483400
9/18/2019,196.360001,196.830002,193.259995,195.039993,1897800
9/17/2019,194.039993,196.779999,194.039993,196.720001,2447400
9/16/2019,196.160004,196.160004,193.509995,194.080002,1597400
9/13/2019,194.410004,196.669998,194.330002,195.470001,2428800
9/12/2019,196.089996,196.830002,193.899994,194,4448000
9/11/2019,197.130005,198.460007,195.169998,195.839996,2875300
9/10/2019,200.809998,201.970001,195.360001,196.869995,4866300
9/9/2019,202.529999,202.949997,198.789993,202.339996,4353200
9/6/2019,208.639999,209.350006,206.100006,207.729996,2388000
9/5/2019,206.630005,208.470001,205.970001,207.649994,1685300
9/4/2019,206.699997,207.369995,203,206.320007,1935700
9/3/2019,207.300003,207.889999,204.679993,205.520004,2193000
8/30/2019,208.990005,210.970001,206.880005,208.619995,2621300
8/29/2019,209,209.839996,205.259995,206.979996,2391600
8/28/2019,205.509995,210.139999,205.330002,207.520004,3789300
8/27/2019,206.539993,208.949997,205.270004,206.490005,3394000
8/26/2019,200.600006,206.399994,199.669998,205.410004,4005200
8/23/2019,203.089996,203.619995,198.009995,199.080002,3416200
8/22/2019,205.270004,206.350006,202,203.419998,2677600
8/21/2019,204.449997,205.369995,203.580002,203.940002,1755200
8/20/2019,205.899994,206.119995,202.949997,203.169998,2710800
8/19/2019,203.229996,206.5,201.110001,206,2974900
8/16/2019,201.830002,205.460007,200.360001,204.020004,2922500
8/15/2019,200,201,198.630005,199.309998,3065800
8/14/2019,202.809998,205.399994,198.720001,198.869995,4507100
8/13/2019,203.429993,211.899994,203,206.119995,5586400
8/12/2019,197.899994,208.779999,197.25,205.779999,10599300
8/9/2019,185.149994,200,182.820007,196.25,8417100
8/8/2019,183.470001,185.419998,183.050003,183.25,2449000
8/7/2019,183.039993,184.139999,179.610001,183.539993,3308900
8/6/2019,181.100006,184.600006,180.029999,184.460007,3172900
8/5/2019,185.580002,185.960007,180.520004,181.5,4060000
8/2/2019,186,187.860001,185.009995,187.220001,2966500
8/1/2019,186.399994,189.460007,184.139999,186,3484700
7/31/2019,180,188,177.899994,186.580002,7157600
7/30/2019,174.919998,176.720001,174.270004,176.449997,2005100
7/29/2019,175.270004,177.160004,174.839996,176.080002,1985400
7/26/2019,174.270004,175.509995,173.119995,175.339996,3070400
7/25/2019,175.779999,176.5,173.770004,174.110001,2145500
7/24/2019,176.020004,176.75,174.880005,175.770004,1898000
7/23/2019,176.429993,176.770004,175.520004,176.009995,2081800
7/22/2019,177.830002,178.809998,175.720001,175.889999,2556800
7/19/2019,180.669998,181.580002,178.190002,178.389999,2987200
7/18/2019,177.130005,180.429993,176.800003,179.539993,2374400
7/17/2019,178.139999,179.449997,177.009995,177.059998,1945200
7/16/2019,176.339996,177.770004,175.910004,177.470001,2260100
7/15/2019,174.899994,177.440002,174.610001,176.119995,3256800
7/12/2019,177.820007,178.089996,174.190002,174.929993,4488700
7/11/2019,180.860001,181,175.949997,178,3621900
7/10/2019,182.169998,183.289993,181.029999,182.270004,1775700
7/9/2019,181.210007,182.270004,180.509995,181.589996,2273700
7/8/2019,184.660004,185.009995,180.520004,182.240005,2700900
7/5/2019,187.429993,188.880005,185.240005,185.940002,2225800
7/3/2019,187.580002,189.419998,187.199997,188.580002,1932600
7/2/2019,186.029999,186.669998,184.199997,186.639999,1796300
7/1/2019,186.880005,187.300003,185.100006,186.350006,2079800
6/28/2019,184.169998,186.100006,183.660004,184.279999,3753200
6/27/2019,183.350006,185.440002,183.029999,184.020004,2193700
6/26/2019,184.710007,184.940002,182.740005,183.169998,2124600
6/25/2019,184.600006,186.779999,183.169998,184.440002,2264700
6/24/2019,186.070007,187,184.699997,184.830002,2948300
6/21/2019,183.889999,187.130005,182.910004,187.110001,6948100
6/20/2019,184.779999,185.289993,182.110001,184.080002,2780400
6/19/2019,181.479996,183.119995,180.639999,182.770004,2396500
6/18/2019,179.270004,182.820007,179.119995,181.610001,3125500
6/17/2019,176.039993,178.550003,175.399994,178.389999,1916800
6/14/2019,176.970001,177.899994,175.550003,176.080002,1621800
6/13/2019,175.830002,177.449997,175.229996,176.710007,1675800
6/12/2019,175.300003,176.690002,174.160004,175.600006,1888600
6/11/2019,176.270004,177.149994,174.199997,174.619995,2313800
6/10/2019,175.949997,176.160004,174.050003,175.580002,2091400
6/7/2019,175.630005,176,173.279999,175.509995,2072000
6/6/2019,174.779999,176.059998,174.089996,174.449997,2396800
6/5/2019,175.679993,175.770004,173.089996,174.550003,2606400
6/4/2019,174.029999,175.360001,170.559998,174.729996,4553200
6/3/2019,172,176.809998,170.559998,172.360001,5774800
5/31/2019,168.059998,168.869995,166.679993,166.699997,2808900
5/30/2019,169.440002,170.050003,168.199997,169.039993,1943300
5/29/2019,168,169.759995,167.330002,169.179993,2671600
5/28/2019,171.559998,172.770004,168.759995,168.850006,4066200
5/24/2019,172.619995,173.770004,171.089996,171.279999,2417100
5/23/2019,171.339996,173.059998,170.490005,172.110001,2902500
5/22/2019,169.350006,172.050003,168.580002,171.300003,2615500
5/21/2019,169.770004,170.020004,168.529999,169.690002,2249300
5/20/2019,168.679993,170.399994,168.149994,168.389999,2144300
5/17/2019,169.270004,171.240005,169.110001,169.910004,2266600
5/16/2019,169.399994,172.020004,169.339996,169.919998,2716200
5/15/2019,167.229996,170.600006,166.300003,169.869995,2860200
5/14/2019,167.679993,169.720001,167.300003,167.809998,2525300
5/13/2019,169.240005,169.600006,167.169998,167.600006,3371800
5/10/2019,172.460007,172.460007,168.440002,171.850006,2942300
5/9/2019,171.240005,173.179993,169.440002,172.869995,2854400
5/8/2019,173.5,175.5,171.699997,172.149994,3368400
5/7/2019,175.139999,176.410004,172.5,173.869995,2797000
5/6/2019,175.490005,177.240005,173.880005,177.059998,2735000
5/3/2019,176.929993,177.770004,176.470001,177.309998,2944500
5/2/2019,176.059998,178.300003,174.300003,176.5,3014000
5/1/2019,175.399994,178.5,171.25,176.139999,6109100
4/30/2019,181.630005,182.039993,177.880005,179.320007,3963000
4/29/2019,181.449997,182.470001,179.589996,181.169998,2662500
4/26/2019,180.699997,181.850006,180.029999,181.470001,2445400
4/25/2019,177.080002,181.020004,175.919998,180.479996,2453700
4/24/2019,180.139999,180.830002,178.259995,178.300003,2711600
4/23/2019,176.940002,180.649994,175.75,179.759995,3471700
4/22/2019,177.100006,177.570007,174.869995,176.360001,3215800
4/18/2019,183.240005,183.490005,176.850006,177.470001,8266600
4/17/2019,188.350006,188.740005,181.529999,182.470001,5242100
4/16/2019,192.270004,192.570007,187.440002,188.050003,2727300
4/15/2019,191.839996,193.179993,189.850006,191.199997,2038300
4/12/2019,193.020004,193.479996,190.789993,191.419998,2060800
4/11/2019,194.570007,194.789993,190.649994,192.110001,2082600
4/10/2019,194.149994,195,192.339996,193.889999,1653200
4/9/2019,193.589996,194,192.509995,192.979996,1872600
4/8/2019,194.529999,195.309998,192.559998,194.880005,1629800
4/5/2019,193.880005,196.869995,193.300003,195.410004,2163300
4/4/2019,192.850006,194.429993,190.990005,192.330002,1785900
4/3/2019,193.179993,193.869995,191.710007,192.919998,1948100
4/2/2019,191.809998,192.820007,191.199997,192.429993,2141800
4/1/2019,191.139999,192.559998,190.509995,191.770004,2660500
3/29/2019,189.369995,191,188.5,189.979996,3189700
3/28/2019,187.080002,187.889999,186,187.649994,1885600
3/27/2019,188.25,188.600006,185.220001,186.320007,2022600
3/26/2019,187.550003,189.589996,187.029999,188.270004,2359100
3/25/2019,186.639999,187.779999,185.039993,186.589996,2523700
3/22/2019,190.960007,192.869995,186.550003,186.699997,3144700
3/21/2019,189.729996,192.369995,189.179993,191.889999,2292900
3/20/2019,191.5,192.770004,189.869995,191.119995,2378700
3/19/2019,191.929993,192.759995,190.919998,191.490005,2268700
3/18/2019,191.080002,192.520004,190.190002,191.309998,2430200
3/15/2019,188.460007,191.639999,188.100006,191.240005,6865000
3/14/2019,187.529999,188.860001,185.889999,187.759995,2909600
3/13/2019,184.699997,188.339996,184.190002,187.350006,2719700
3/12/2019,184.610001,184.949997,183.520004,184.179993,2677500
3/11/2019,181.839996,184.600006,181.399994,184.139999,2816900
3/8/2019,180.600006,181.309998,179.009995,180.869995,2750900
3/7/2019,182.919998,183.160004,180.600006,181.460007,3421700
3/6/2019,188.880005,189.369995,182.429993,183.149994,3956100
3/5/2019,190,190.669998,188.789993,188.820007,3445200
3/4/2019,191.820007,192.119995,187.410004,189.779999,2274800
3/1/2019,191.389999,192.059998,190.470001,191.160004,2409400
2/28/2019,191.380005,191.630005,189.729996,190.080002,2776200
2/27/2019,188.740005,192.190002,188.660004,191.419998,1886200
2/26/2019,189.559998,191.649994,189.360001,190.080002,2431000
2/25/2019,188.660004,190.470001,187.889999,189.809998,3182600
2/22/2019,185.889999,188.860001,185.809998,187.5,2774100
2/21/2019,186.389999,187.399994,184.75,185.5,2947600
2/20/2019,187.190002,189.220001,186.479996,186.919998,3046400
2/19/2019,187.789993,188.470001,186.850006,186.970001,2267500
2/15/2019,188.070007,189.100006,185.990005,188.339996,3314600
2/14/2019,187.589996,187.800003,185.759995,186.679993,2611500
2/13/2019,189.220001,190.119995,188.399994,188.979996,2166000
2/12/2019,187.330002,188.960007,186.429993,188.429993,2412400
2/11/2019,186.789993,187.110001,185.509995,185.789993,2867300
2/8/2019,183.410004,186.050003,183.410004,186,2601000
2/7/2019,190.669998,190.669998,182.669998,184.229996,4188100
2/6/2019,188.309998,191.869995,188.110001,190.759995,3322400
2/5/2019,186.199997,189.059998,185.720001,188.309998,4933300
2/4/2019,186.960007,187.139999,184.289993,186.179993,2930900
2/1/2019,186.509995,187.830002,185.559998,187.070007,2488900
1/31/2019,184.779999,187.600006,183.910004,187.110001,4397900
1/30/2019,188.889999,189.759995,179.649994,184.860001,8089100
1/29/2019,192.179993,193.669998,190.800003,192.110001,3182100
1/28/2019,194.970001,194.970001,190.009995,191.949997,4186200
1/25/2019,201.949997,202.229996,196.880005,198.770004,4383600
1/24/2019,201.610001,202.399994,199.740005,200.970001,2390800
1/23/2019,201.990005,203.949997,200.130005,201.559998,1917500
1/22/2019,202.619995,203.479996,200.779999,201.979996,3173100
1/18/2019,203.330002,204.330002,201.039993,203.880005,3095000
1/17/2019,198.380005,202.529999,197.979996,201.919998,2440200
1/16/2019,199.300003,200.440002,197.600006,198.889999,3302400
1/15/2019,196.300003,199.990005,196.039993,199.380005,2859800
1/14/2019,199.490005,200,196.660004,196.779999,3378600
1/11/2019,200.639999,200.990005,198,200.559998,3379700
1/10/2019,200.369995,203.520004,199.470001,202.679993,3131300
1/9/2019,202.360001,202.899994,199.630005,200.369995,2869700
1/8/2019,199.199997,201.119995,196.679993,200.610001,3290300
1/7/2019,194.759995,199.360001,194,198.070007,3032500
1/4/2019,191.460007,196.520004,190.839996,195.440002,4193400
1/3/2019,192.149994,194.179993,188.669998,188.979996,3973900
1/2/2019,192.520004,193.199997,188.949997,191.899994,3009100
12/31/2018,191.929993,195.800003,191.610001,194.669998,2764800
12/28/2018,191.630005,194.589996,190.059998,190.729996,2477500
12/27/2018,185.360001,190.410004,183.619995,190.330002,3137900
12/26/2018,179.039993,188.029999,178.880005,187.860001,2868200
12/24/2018,179.5,182.929993,178.289993,178.399994,2205100
12/21/2018,183.850006,187.610001,179.210007,180.210007,7829800
12/20/2018,185.059998,186.539993,182.720001,184.960007,3806200
12/19/2018,187.020004,191.759995,182.529999,185.490005,3995400
12/18/2018,191.440002,191.940002,184.410004,187.100006,3164300
12/17/2018,192.240005,194.449997,188.639999,190.080002,2919400
12/14/2018,195.039993,196.149994,191.660004,192.070007,2981300
12/13/2018,196.770004,197.660004,195.220001,197.529999,2129800
12/12/2018,198.089996,199.440002,196.300003,196.410004,2665600
12/11/2018,195.910004,198.410004,194.339996,196.179993,3047500
12/10/2018,193.029999,194.789993,188.190002,194.089996,2718300
12/7/2018,197.889999,198.399994,191.050003,191.440002,3152400
12/6/2018,195.720001,199.009995,193.199997,199.009995,3437300
12/4/2018,204.600006,205.740005,197.289993,197.759995,3881100
12/3/2018,208.100006,208.300003,200.380005,202.929993,4035300
11/30/2018,202.149994,208.990005,201.789993,208.25,4537200
11/29/2018,199.779999,204,199.529999,202.369995,1937800
11/28/2018,196.960007,202.020004,196.059998,201.419998,2617800
11/27/2018,193.160004,197.229996,191.869995,197.100006,2329200
11/26/2018,194.940002,196.309998,192.490005,194.300003,2194600
11/23/2018,191.25,194.479996,190.770004,192.570007,1349200
11/21/2018,195.169998,197.550003,192.610001,192.770004,2173600
11/20/2018,196.320007,198.679993,192.759995,196.440002,3288800
11/19/2018,194.919998,196.770004,192.869995,194.910004,2629900
11/16/2018,192.360001,195.240005,191.690002,194.179993,3862300
11/15/2018,188.339996,192.630005,187.119995,192.449997,2607100
11/14/2018,192.029999,193.399994,189.660004,190.360001,2850300
11/13/2018,192.910004,194.820007,191.029999,191.550003,2232200
11/12/2018,193.649994,194.720001,190.479996,191.559998,2109100
