Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,177.830002,179.679993,168.550003,173.419998,173.419998,3272200
2020-03-05,185.470001,192.729996,182.830002,184.039993,184.039993,2328700
2020-03-04,183.899994,191.679993,182.130005,191.419998,191.419998,2242800
2020-03-03,187.850006,190.000000,177.820007,180.550003,180.550003,2756100
2020-03-02,190.669998,191.970001,183.270004,190.830002,190.830002,2698800
2020-02-28,176.570007,191.360001,175.050003,190.880005,190.880005,4340100
2020-02-27,184.240005,188.490005,180.070007,180.649994,180.649994,2688300
2020-02-26,188.589996,194.149994,187.660004,190.669998,190.669998,2850100
2020-02-25,196.470001,197.419998,185.740005,186.729996,186.729996,2282300
2020-02-24,195.559998,197.289993,192.429993,194.369995,194.369995,2104900
2020-02-21,205.000000,206.270004,199.850006,201.910004,201.910004,1774800
2020-02-20,210.440002,211.580002,205.070007,206.669998,206.669998,1527300
2020-02-19,209.330002,211.179993,208.639999,210.759995,210.759995,1569900
2020-02-18,209.470001,209.820007,206.899994,207.059998,207.059998,1342500
2020-02-14,208.089996,209.199997,207.240005,208.949997,208.949997,996900
2020-02-13,206.339996,208.470001,206.339996,207.509995,207.509995,897500
2020-02-12,206.759995,207.720001,205.449997,207.110001,207.110001,1177200
2020-02-11,207.350006,207.990005,204.520004,205.800003,205.800003,1289700
2020-02-10,207.240005,207.759995,205.339996,206.100006,206.100006,1557000
2020-02-07,205.580002,210.130005,204.639999,207.009995,207.009995,1410200
2020-02-06,203.619995,206.919998,202.460007,206.000000,206.000000,1326000
2020-02-05,206.720001,207.190002,200.789993,202.080002,202.080002,1366500
2020-02-04,202.000000,204.190002,200.509995,203.940002,203.940002,1093300
2020-02-03,197.860001,199.940002,197.779999,199.259995,199.259995,888300
2020-01-31,198.770004,199.320007,193.309998,196.850006,196.850006,1616600
2020-01-30,198.419998,200.839996,196.979996,198.990005,198.990005,1520900
2020-01-29,200.919998,201.570007,198.860001,199.740005,199.740005,838200
2020-01-28,196.259995,200.429993,195.679993,200.029999,200.029999,1270100
2020-01-27,195.770004,197.149994,192.960007,195.869995,195.869995,1837800
2020-01-24,199.429993,200.899994,197.910004,199.190002,199.190002,2437200
2020-01-23,195.389999,198.910004,193.759995,198.600006,198.600006,1687300
2020-01-22,197.470001,198.720001,194.619995,194.729996,194.729996,1068600
2020-01-21,194.009995,197.550003,193.699997,195.839996,195.839996,1455400
2020-01-17,192.380005,194.240005,191.309998,193.350006,193.350006,2384900
2020-01-16,192.509995,193.119995,191.500000,192.500000,192.500000,2195900
2020-01-15,190.940002,192.169998,190.009995,190.789993,190.789993,1444000
2020-01-14,192.250000,193.130005,190.630005,191.110001,191.110001,1146500
2020-01-13,190.000000,193.369995,190.000000,192.449997,192.449997,1454200
2020-01-10,193.160004,193.419998,191.839996,192.360001,192.360001,708900
2020-01-09,191.710007,192.699997,190.679993,191.940002,191.940002,1164500
2020-01-08,188.220001,190.500000,187.029999,189.949997,189.949997,1314800
2020-01-07,186.130005,188.169998,185.100006,187.500000,187.500000,897200
